Family	Count	Coverage
mer30#dna/hat-charlie	7	889
l1ma9#line/l1	5	3611
l1ma8#line/l1	4	2295
alusx1#sine/alu	4	1158
aluy#sine/alu	4	1147
alusp#sine/alu	4	1060
l1mb1#line/l1	3	2218
l1me1c#line/l1	3	1318
aluyj4#sine/alu	3	905
l1mb2#line/l1	3	824
l1mc3#line/l1	3	639
alujr#sine/alu	3	476
l2c#line/l2	3	342
cer#satellite	3	214
l1pa5#line/l1	2	3064
l1pb4#line/l1	2	2308
l1pa8#line/l1	2	1348
l1mb7#line/l1	2	844
l1pa2#line/l1	2	754
l2a#line/l2	2	654
alusx4#sine/alu	2	600
l1pa4#line/l1	2	589
alusq#sine/alu	2	558
l1mb4#line/l1	2	471
l1ma10#line/l1	2	444
alujo#sine/alu	2	436
mer5a1#dna/hat-charlie	2	312
l1md1#line/l1	2	198
l1md2#line/l1	2	198
alujr4#sine/alu	2	189
l1ma5#line/l1	1	1396
ltr70#ltr/erv1	1	1216
the1d-int#ltr/ervl-malr	1	1094
mer11c#ltr/ervk	1	1063
l1pa17#line/l1	1	731
l1hs#line/l1	1	428
l1pa3#line/l1	1	428
l1pa6#line/l1	1	428
the1d#ltr/ervl-malr	1	371
alusg7#sine/alu	1	306
aluym1#sine/alu	1	297
alusc#sine/alu	1	286
alujb#sine/alu	1	283
alusq2#sine/alu	1	280
charlie25#dna/hat-charlie	1	280
mstb#ltr/ervl-malr	1	279
l1me4a#line/l1	1	230
l1me4ab#line/l1	1	230
l1mc4#line/l1	1	217
l1mb8#line/l1	1	154
l1md3#line/l1	1	153
l1me1d2#line/l1	1	153
l1me1cc#line/l1	1	143
mstb1#ltr/ervl-malr	1	131
mirb#sine/mir	1	118
l1ma3#line/l1	1	114
the1-int#ltr/ervl-malr	1	112
ltr23#ltr/erv1	1	95
l1ma7#line/l1	1	93
l1mb1de#line/l1	1	93
l1mb3#line/l1	1	93
l1ma2#line/l1	1	86
mirc#sine/mir	1	84
mer3#dna/hat-charlie	1	76
l2d#line/l2	1	60
mer67c#ltr/erv1	1	58
l1me3b#line/l1	1	55
mer51d#ltr/erv1	1	51
l1mc5#line/l1	1	44
